substrate,threshold,linger_bin,n,mean_residue,median_residue,std_residue,mean_excursion,mean_start_depth
AB_N30,2.0,1-4,46,1.0254854465377201,0.7653668647565941,0.5994370957414624,0.19294939576498465,0.21271356628092253
AB_N30,2.0,5-9,105,1.169768793993991,1.4142135623,0.551686698159269,0.21444447329945085,0.24125240086406163
AB_N30,2.0,10-19,255,1.1323165698792022,0.7653668647757284,0.5840563065895448,0.2616680338318308,0.2916384319582276
AB_N30,2.0,20-39,519,1.0534248463449385,0.76536686473746,0.5521961802069104,0.35194750642025224,0.38454365142805286
AB_N30,2.0,40-79,569,0.9547463532935745,0.76536686473746,0.5105946610666449,0.506612178560018,0.5395399217562511
AB_N30,2.0,80-159,304,0.7435348291054187,0.76536686473746,0.38559485641471514,0.7182626916502661,0.7574154787557543
AB_N30,2.0,160-319,2,0.38268343236873,0.38268343236873,0.541196100151345,0.8678468349912328,0.9372399949042072
AB_N30,3.0,1-4,67,1.1497469560059759,1.08239220030269,0.5942476540681753,0.19242226739477952,0.21115116855529306
AB_N30,3.0,5-9,163,1.316262104499383,1.08239220030269,0.5749194282928154,0.2150174605856071,0.241391578239832
AB_N30,3.0,10-19,389,1.2222009385621342,1.08239220030269,0.5633631646514394,0.2580879453276667,0.28807069020038284
AB_N30,3.0,20-39,756,1.1261013045797592,1.08239220030269,0.5227282544962412,0.3491565818180358,0.3817890315925272
AB_N30,3.0,40-79,822,1.0173087459740167,1.0823922002644217,0.4593377787530302,0.507082776120961,0.5402299619845324
AB_N30,3.0,80-159,429,0.8468770946988757,0.76536686473746,0.3685211607563738,0.7242873572552491,0.7627161937138685
AB_N30,3.0,160-319,4,0.7325378163261429,0.9238795325009408,0.510713741971602,0.872779738295375,0.9261551888045488
Penrose_N24,2.0,1-4,99,1.229003006348472,1.1755705046317706,0.5512387879534821,0.24238878314852738,0.2879602882708858
Penrose_N24,2.0,5-9,173,1.2745850580041724,1.1755705046,0.5555357737259393,0.26195432303780297,0.3074621353530717
Penrose_N24,2.0,10-19,371,1.1418496060190173,1.1755705045741416,0.5512432869219833,0.3493697124070006,0.39921879682265693
Penrose_N24,2.0,20-39,540,1.010587849617269,1.1755705045366653,0.5262580655552177,0.4705145628705745,0.5252778128251476
Penrose_N24,2.0,40-79,475,0.8514903142934394,0.6180339887802133,0.5113218365982451,0.6289818068529704,0.6900415409705328
Penrose_N24,2.0,80-159,120,0.7224832534104334,0.6180339887493117,0.3649628853881382,0.7671811254143679,0.8403383275112992
Penrose_N24,2.0,160-319,1,0.6180339887483193,0.6180339887483193,,0.7845726781319763,0.926884644970408
Penrose_N24,3.0,1-4,149,1.4422350005712576,1.3281310260901853,0.6271699913027209,0.24187503075972755,0.28500586920718884
Penrose_N24,3.0,5-9,258,1.4808948415239116,1.3281310260983787,0.6182401542836996,0.26290845213893776,0.3076999910638024
Penrose_N24,3.0,10-19,489,1.2830468850288144,1.1755705046317708,0.5894178203954195,0.3403850136244882,0.3907299907605844
Penrose_N24,3.0,20-39,690,1.1204603871284282,1.1755705046,0.5392304404658688,0.47321158401431374,0.5270927922915417
Penrose_N24,3.0,40-79,600,0.9602027204663334,1.1755705045741416,0.5091314965082843,0.6296379023929259,0.6905995399045501
Penrose_N24,3.0,80-159,161,0.8767165371408396,0.6180339888,0.41124716100574404,0.7678772450066625,0.8421054982326929
Penrose_N24,3.0,160-319,1,0.6180339887483193,0.6180339887483193,,0.7845726781319763,0.926884644970408
